h2r2,ilastik,optical_flow,region_growing,thresholding
240420-033602,82.43,86.57000000000001,62.99,87.44
240420-113302,79.25,83.64,59.43000000000001,87.09
240421-041502,77.77,86.07000000000001,67.28,84.23
240421-105302,85.05,88.19,72.52,82.88
240421-152302,86.59,90.13,74.99,85.06
240421-191402,82.26,88.68,72.65,85.61999999999999
240422-001902,87.15,89.77000000000001,72.23,83.93
240422-124302,92.28,93.42,88.7,77.9
240422-212602,94.28999999999999,93.42,90.59,76.23
240423-023002,94.6,94.02000000000001,88.89,77.95
240423-091802,94.8,94.96,90.77,78.67
240423-145702,92.88,93.25,88.01,77.03
240423-200402,93.77,93.13,87.49,77.55
240423-210202,94.12,93.46,88.69,76.16000000000001
240423-211402,92.80000000000001,95.84,89.19,79.2
240424-104902,94.58,95.66,92.14,73.69
240424-134702,92.61,93.31,89.44,74.41
240424-140002,92.58999999999999,94.08999999999999,90.16,74.00999999999999
240425-164102,93.96,94.92,90.44,78.0
240426-053202,94.5,95.48,90.28,80.62
240426-054302,93.38,95.49,89.35,80.51
240426-104202,93.60000000000001,93.23,89.94,77.09
240426-150702,93.69,94.24,89.42,76.44999999999999
240427-180602,81.94,90.88000000000001,73.3,83.57
240428-125002,81.54,88.35,70.97,82.46
