h2r3,thresholding,region_growing,ilastik,optical_flow
240419-163702,89.7,83.00999999999999,91.18,91.25999999999999
240420-185102,86.27,68.57,63.32,92.65
240421-195102,87.4,75.78,66.39,88.16000000000001
240421-230902,80.57,84.72,76.74,90.2
240422-162402,82.11,86.5,76.55999999999999,85.76
240423-020502,80.85,83.42,76.44999999999999,84.45
240423-065002,84.36,84.93,76.92999999999999,88.89
240423-160202,78.86999999999999,84.04,75.62,90.36999999999999
240423-212402,80.86,85.28,76.55999999999999,84.13000000000001
240424-123002,82.98,74.72,69.72,89.83
240424-172702,78.60000000000001,84.84,74.37,83.6
240424-195502,79.11,81.67999999999999,71.63000000000001,88.72
240424-213202,84.59,80.58,71.0,85.39
240424-223902,80.58,79.02,69.86,87.98
240425-174402,79.3,74.08,84.16,90.03999999999999
240426-021302,79.47,73.77,83.23,89.4
240426-114602,78.97,74.85000000000001,82.62,88.3
240426-213302,86.53999999999999,80.38,82.52000000000001,88.61
240427-040602,85.72,76.23,83.63000000000001,92.67999999999999
240427-065902,85.28999999999999,69.6,83.1,90.56
